artefact,reviewer,data_ink_ratio,chartjunk_absence,chart_type_appropriateness,alert_by_exception,var_risk_metrics,greeks_sensitivity,message_driven_structure,labelling_economy,data_formatting,semantic_colour,completeness,overall
artefact-001,1,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.4
artefact-001,2,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.4
artefact-001,3,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.4
artefact-002,1,7.0,8.0,7.0,8.0,7.0,5.0,9.0,8.0,8.0,7.0,8.0,7.5
artefact-002,2,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,8.0,7.0,9.0,7.8
artefact-002,3,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,9.0,7.0,9.0,7.9
artefact-003,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-003,2,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,8.2
artefact-003,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-004,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,8.0,10.0,7.7
artefact-004,2,8.0,9.0,8.0,8.0,7.0,4.0,5.0,7.0,9.0,8.0,9.0,7.5
artefact-004,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,8.0,10.0,7.7
artefact-005,1,8.0,9.0,8.0,7.0,6.0,5.0,6.0,8.0,8.0,7.0,9.0,7.4
artefact-005,2,8.0,9.0,8.0,7.0,6.0,5.0,6.0,7.0,8.0,7.0,9.0,7.3
artefact-005,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,7.0,10.0,7.7
artefact-006,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-006,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,8.0,9.0,7.7
artefact-006,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,8.0,9.0,7.7
artefact-007,1,5.0,6.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-007,2,5.0,6.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,8.0,10.0,6.8
artefact-007,3,5.0,6.0,6.0,7.0,7.0,5.0,4.0,7.0,8.0,7.0,10.0,6.5
artefact-008,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-008,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-008,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,8.0,8.0,9.0,7.5
artefact-009,1,4.0,5.0,7.0,8.0,7.0,7.0,5.0,7.0,8.0,7.0,10.0,6.8
artefact-009,2,4.0,5.0,7.0,8.0,7.0,7.0,5.0,7.0,8.0,7.0,10.0,6.8
artefact-009,3,5.0,6.0,7.0,8.0,7.0,6.0,5.0,7.0,8.0,7.0,10.0,6.9
artefact-010,1,4.0,4.0,6.0,8.0,7.0,5.0,5.0,7.0,8.0,7.0,10.0,6.5
artefact-010,2,4.0,4.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,6.0,10.0,6.2
artefact-010,3,4.0,4.0,6.0,7.0,7.0,5.0,5.0,7.0,8.0,7.0,10.0,6.4
artefact-011,1,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,9.0,8.1
artefact-011,2,8.0,9.0,8.0,8.0,7.0,6.0,9.0,7.0,8.0,8.0,9.0,7.9
artefact-011,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,7.0,8.0,8.0,9.0,7.9
artefact-012,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-012,2,8.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,9.0,8.2
artefact-012,3,8.0,9.0,8.0,8.0,7.0,7.0,9.0,8.0,9.0,8.0,9.0,8.2
artefact-013,1,4.0,5.0,6.0,7.0,7.0,5.0,5.0,7.0,8.0,6.0,10.0,6.4
artefact-013,2,4.0,5.0,6.0,7.0,7.0,5.0,5.0,7.0,8.0,6.0,10.0,6.4
artefact-013,3,4.0,5.0,6.0,7.0,7.0,5.0,5.0,7.0,8.0,6.0,10.0,6.4
artefact-014,1,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-014,2,5.0,5.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,10.0,6.6
artefact-014,3,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-015,1,8.0,9.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,8.0,9.0,7.7
artefact-015,2,8.0,9.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,7.0,9.0,7.6
artefact-015,3,8.0,9.0,8.0,8.0,7.0,5.0,7.0,8.0,8.0,7.0,9.0,7.6
artefact-016,1,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,9.0,8.1
artefact-016,2,8.0,9.0,8.0,9.0,7.0,6.0,9.0,8.0,8.0,8.0,9.0,8.1
artefact-016,3,8.0,9.0,8.0,9.0,8.0,6.0,9.0,8.0,8.0,9.0,9.0,8.3
artefact-017,1,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,9.0,8.0,10.0,8.1
artefact-017,2,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,9.0,8.0,10.0,8.1
artefact-017,3,8.0,9.0,8.0,9.0,7.0,5.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-018,1,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,8.0,10.0,7.8
artefact-018,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,9.0,8.0,9.0,7.7
artefact-018,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,8.0,8.0,8.0,9.0,7.6
artefact-019,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,8.0,10.0,8.1
artefact-019,2,8.0,9.0,8.0,9.0,7.0,6.0,9.0,8.0,9.0,8.0,10.0,8.3
artefact-019,3,8.0,9.0,8.0,9.0,7.0,6.0,9.0,8.0,8.0,8.0,10.0,8.2
artefact-020,1,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-020,2,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,8.0,9.0,6.7
artefact-020,3,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,8.0,10.0,6.8
artefact-021,1,8.0,9.0,8.0,9.0,7.0,5.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-021,2,8.0,9.0,8.0,9.0,7.0,5.0,9.0,8.0,9.0,8.0,9.0,8.1
artefact-021,3,8.0,9.0,8.0,9.0,7.0,5.0,9.0,8.0,9.0,9.0,8.0,8.1
artefact-022,1,5.0,6.0,6.0,7.0,7.0,4.0,5.0,7.0,7.0,7.0,10.0,6.5
artefact-022,2,5.0,6.0,6.0,7.0,7.0,4.0,5.0,7.0,8.0,7.0,9.0,6.5
artefact-022,3,5.0,6.0,6.0,7.0,7.0,4.0,5.0,7.0,7.0,6.0,9.0,6.3
artefact-023,1,5.0,5.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,7.0,10.0,6.8
artefact-023,2,5.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,8.0,7.0,9.0,6.9
artefact-023,3,5.0,5.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,7.0,9.0,6.7
artefact-024,1,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,8.2
artefact-024,2,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0
artefact-024,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0
artefact-025,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,7.0,9.0,8.0,8.0,7.9
artefact-025,2,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0
artefact-025,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,8.0,8.0
artefact-026,1,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-026,2,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-026,3,8.0,9.0,8.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,10.0,8.0
artefact-027,1,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,8.0,7.9
artefact-027,2,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,8.0,7.9
artefact-027,3,8.0,9.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,8.0,7.8
artefact-028,1,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,8.0,10.0,7.8
artefact-028,2,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-028,3,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-029,1,5.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,6.0,10.0,6.5
artefact-029,2,5.0,4.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,9.0,6.5
artefact-029,3,5.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,8.0,7.0,10.0,6.6
artefact-030,1,5.0,6.0,6.0,7.0,6.0,8.0,5.0,7.0,8.0,6.0,9.0,6.6
artefact-030,2,5.0,6.0,6.0,8.0,7.0,8.0,5.0,7.0,8.0,7.0,9.0,6.9
artefact-030,3,5.0,6.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,6.0,9.0,6.7
artefact-031,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,7.0,9.0,8.0
artefact-031,2,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,7.0,9.0,8.0
artefact-031,3,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,9.0,7.0,9.0,7.9
artefact-032,1,8.0,9.0,8.0,8.0,7.0,8.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-032,2,8.0,9.0,8.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,10.0,8.0
artefact-032,3,8.0,9.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,10.0,8.0
artefact-033,1,5.0,5.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,7.0,9.0,6.7
artefact-033,2,5.0,6.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,7.0,10.0,6.9
artefact-033,3,4.0,5.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-034,1,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,8.0,8.0,9.0,7.6
artefact-034,2,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-034,3,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,8.0,8.0,9.0,7.6
artefact-035,1,5.0,6.0,7.0,8.0,8.0,7.0,5.0,7.0,8.0,7.0,10.0,7.1
artefact-035,2,5.0,6.0,7.0,8.0,8.0,8.0,5.0,7.0,8.0,7.0,10.0,7.2
artefact-035,3,5.0,6.0,7.0,8.0,8.0,8.0,5.0,7.0,8.0,7.0,10.0,7.2
artefact-036,1,4.0,5.0,6.0,7.0,6.0,5.0,5.0,7.0,8.0,6.0,9.0,6.2
artefact-036,2,4.0,5.0,6.0,8.0,7.0,5.0,5.0,6.0,8.0,7.0,10.0,6.5
artefact-036,3,5.0,6.0,6.0,7.0,7.0,5.0,5.0,7.0,8.0,6.0,10.0,6.5
artefact-037,1,8.0,9.0,8.0,7.0,7.0,6.0,5.0,8.0,9.0,8.0,9.0,7.6
artefact-037,2,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,7.0,9.0,7.6
artefact-037,3,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,7.0,8.0,7.5
artefact-038,1,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-038,2,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-038,3,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-039,1,8.0,9.0,9.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,10.0,8.2
artefact-039,2,8.0,9.0,9.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-039,3,8.0,9.0,9.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-040,1,8.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.6
artefact-040,2,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,8.0,10.0,8.5
artefact-040,3,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.5
artefact-041,1,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,9.0,8.0,10.0,8.3
artefact-041,2,8.0,9.0,8.0,8.0,8.0,6.0,9.0,8.0,8.0,8.0,9.0,8.1
artefact-041,3,8.0,9.0,8.0,8.0,7.0,5.0,9.0,8.0,8.0,7.0,9.0,7.8
artefact-042,1,8.0,9.0,8.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,8.0,8.5
artefact-042,2,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,8.5
artefact-042,3,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.5
artefact-043,1,8.0,9.0,8.0,8.0,7.0,7.0,6.0,8.0,9.0,8.0,10.0,8.0
artefact-043,2,8.0,9.0,8.0,8.0,7.0,6.0,6.0,8.0,9.0,8.0,9.0,7.8
artefact-043,3,8.0,9.0,8.0,8.0,7.0,6.0,6.0,8.0,9.0,8.0,9.0,7.8
artefact-044,1,8.0,9.0,8.0,8.0,6.0,5.0,6.0,7.0,8.0,8.0,10.0,7.5
artefact-044,2,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,8.0,10.0,7.7
artefact-044,3,8.0,9.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,8.0,10.0,7.7
artefact-045,1,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,8.0,8.0,7.6
artefact-045,2,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,8.0,9.0,7.7
artefact-045,3,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,9.0,8.0,9.0,7.7
artefact-046,1,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-046,2,8.0,9.0,8.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,9.0,7.5
artefact-046,3,8.0,9.0,8.0,8.0,7.0,7.0,5.0,7.0,9.0,8.0,9.0,7.7
artefact-047,1,4.0,4.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,6.0,10.0,6.5
artefact-047,2,5.0,5.0,6.0,7.0,7.0,7.0,5.0,7.0,8.0,6.0,10.0,6.6
artefact-047,3,5.0,4.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,6.0,10.0,6.6
artefact-048,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-048,2,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-048,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-049,1,5.0,6.0,6.0,7.0,7.0,5.0,4.0,7.0,8.0,6.0,10.0,6.5
artefact-049,2,4.0,5.0,5.0,7.0,7.0,5.0,4.0,7.0,8.0,6.0,9.0,6.1
artefact-049,3,4.0,5.0,6.0,7.0,7.0,5.0,4.0,7.0,8.0,7.0,9.0,6.3
artefact-050,1,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.5
artefact-050,2,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.5
artefact-050,3,8.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,8.3
artefact-051,1,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,8.0
artefact-051,2,8.0,9.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,9.0,7.8
artefact-051,3,8.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,9.0,8.0,10.0,8.1
artefact-052,1,5.0,6.0,7.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,10.0,7.0
artefact-052,2,5.0,5.0,7.0,7.0,8.0,6.0,5.0,8.0,8.0,6.0,10.0,6.8
artefact-052,3,5.0,6.0,7.0,7.0,8.0,7.0,5.0,8.0,8.0,6.0,10.0,7.0
artefact-053,1,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,9.0,6.6
artefact-053,2,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-053,3,5.0,6.0,7.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,10.0,6.7
artefact-054,1,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,8.4
artefact-054,2,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,10.0,8.5
artefact-054,3,8.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,8.0,10.0,8.4
artefact-055,1,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,8.0,8.0,9.0,7.6
artefact-055,2,8.0,9.0,8.0,8.0,7.0,6.0,6.0,8.0,8.0,8.0,9.0,7.7
artefact-055,3,8.0,9.0,8.0,8.0,7.0,6.0,5.0,8.0,8.0,8.0,9.0,7.6
artefact-056,1,8.0,9.0,8.0,8.0,8.0,5.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-056,2,8.0,9.0,8.0,8.0,8.0,5.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-056,3,8.0,9.0,8.0,8.0,8.0,5.0,9.0,8.0,9.0,8.0,10.0,8.2
artefact-057,1,5.0,6.0,6.0,7.0,8.0,5.0,4.0,7.0,8.0,6.0,10.0,6.5
artefact-057,2,4.0,5.0,6.0,7.0,7.0,5.0,4.0,7.0,8.0,6.0,9.0,6.2
artefact-057,3,4.0,5.0,6.0,7.0,8.0,5.0,5.0,7.0,8.0,7.0,9.0,6.5
artefact-058,1,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,8.0,8.0,7.9
artefact-058,2,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,8.0,9.0,8.0
artefact-058,3,8.0,9.0,8.0,8.0,7.0,6.0,9.0,8.0,8.0,8.0,9.0,8.0
artefact-059,1,4.0,4.0,6.0,7.0,6.0,5.0,5.0,6.0,7.0,6.0,8.0,5.8
artefact-059,2,5.0,5.0,6.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,6.4
artefact-059,3,4.0,4.0,6.0,7.0,7.0,5.0,5.0,6.0,7.0,6.0,9.0,6.0
artefact-060,1,5.0,6.0,6.0,8.0,7.0,4.0,5.0,7.0,8.0,7.0,9.0,6.5
artefact-060,2,5.0,6.0,6.0,7.0,7.0,5.0,5.0,7.0,8.0,7.0,9.0,6.5
artefact-060,3,5.0,6.0,5.0,7.0,7.0,4.0,5.0,7.0,8.0,7.0,9.0,6.4
